,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Macon,US,39.8667,-88.9668,75.25,46,40,9.22,scattered clouds
312,Storforshei,NO,66.4043,14.5233,39.65,86,100,1.14,overcast clouds
313,Yurty,RU,56.0498,97.6348,71.69,42,54,8.32,broken clouds
314,Zanjan,IR,36.6736,48.4787,53.2,68,1,1.79,clear sky
315,Lazaro Cardenas,MX,17.9583,-102.2,79.47,62,25,7.34,scattered clouds
316,Tezu,IN,27.9167,96.1667,70.79,98,100,3.6,overcast clouds
317,Jadu,LY,31.953,12.0261,66.87,28,14,2.68,few clouds
318,Catuday,PH,16.2923,119.8062,78.64,83,100,8.81,overcast clouds
319,Northwich,GB,53.2614,-2.5123,54.93,86,35,5.75,scattered clouds
320,Fortuna,US,40.5982,-124.1573,57.92,75,0,12.66,clear sky
321,Bure,ET,10.7,37.0667,61.48,67,90,3.47,overcast clouds
322,Asyut,EG,27.181,31.1837,72.36,34,0,9.42,clear sky
323,Bonfim,BR,3.0833,-59.95,77.41,89,100,2.68,overcast clouds
324,Umm Lajj,SA,25.0213,37.2685,80.4,54,0,7.61,clear sky
325,Labuhan,ID,-6.8844,112.2051,82.54,78,100,6.71,overcast clouds
326,Am Timan,TD,11.0297,20.2827,82.35,58,88,10.74,light rain
327,Port Hedland,AU,-20.3167,118.5667,73.45,94,100,8.05,moderate rain
328,Avera,US,33.194,-82.5271,69.31,45,0,3.94,clear sky
329,Pangnirtung,CA,66.1451,-65.7125,18.45,85,28,7.87,scattered clouds
330,Santa Cruz,BO,-17.8,-63.1667,65.66,48,75,13.8,broken clouds
331,Kavaratti,IN,10.5669,72.642,78.75,84,100,17.63,heavy intensity rain
332,Naze,JP,28.3667,129.4833,69.58,73,100,16.28,overcast clouds
333,Romans-Sur-Isere,FR,45.0464,5.0562,67.41,83,8,3.49,clear sky
334,Inuvik,CA,68.3499,-133.7218,32.81,98,100,12.19,overcast clouds
335,Canaries,ES,28.0,-15.5,62.56,64,20,20.71,few clouds
336,El Vigia,VE,8.6219,-71.6506,80.47,76,100,4.18,overcast clouds
337,Ulaangom,MN,49.9811,92.0667,67.5,32,55,1.74,broken clouds
338,Iralaya,HN,15.0,-83.2333,79.66,80,70,8.21,broken clouds
339,Palmeiras De Goias,BR,-16.805,-49.9258,53.37,55,88,6.11,overcast clouds
340,Berlevag,NO,70.8578,29.0864,31.95,93,75,25.32,broken clouds
341,Inirida,CO,3.8653,-67.9239,75.15,97,99,1.43,overcast clouds
342,Veraval,IN,20.9,70.3667,82.89,72,0,9.84,clear sky
343,Port Said,EG,31.2565,32.2841,70.03,70,0,4.18,clear sky
344,Sobolevo,RU,54.4299,31.8996,41.41,94,100,13.51,overcast clouds
