City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Ambon,ID,75.34,heavy intensity rain,-3.6954,128.1814,Swiss-Belhotel Ambon
597,Bowen,AU,80.1,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
600,Malakal,SS,81.68,broken clouds,9.5334,31.6605,Nile Palace Hotel
604,Uthal,PK,82.13,clear sky,25.8072,66.6219,Al-Mustafa Hotel
607,Harlingen,US,81.05,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
615,Bacolod,PH,85.8,overcast clouds,10.6667,122.95,Planta Hotel & Residences
623,Tabuk,PH,75.97,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
624,Iranshahr,IR,84.83,clear sky,27.2025,60.6848,نیک سرشت
630,Cartagena,CO,80.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
637,Hobyo,SO,79.56,clear sky,5.3505,48.5268,Iftin hotel hobyo
640,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
645,Ambulu,ID,83.44,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
648,Chake Chake,TZ,76.86,few clouds,-5.2459,39.7666,Hotel Archipelago
649,Dosso,NE,89.53,clear sky,13.049,3.1937,Hotel Toubal
656,Sakakah,SA,75.92,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
657,Caravelas,BR,75.15,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
658,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
661,Lucea,JM,77.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
662,Jalu,LY,78.51,clear sky,29.0331,21.5482,صاحبة الفخامة
664,Hami,CN,76.48,broken clouds,42.8,93.45,Laoyutang Resort
671,Shanghai,CN,79.88,clear sky,31.2222,121.4581,Swissotel Grand Shanghai
679,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
681,Honiara,SB,87.76,clear sky,-9.4333,159.95,Heritage Park Hotel
686,Waingapu,ID,84.7,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
687,Biloela,AU,75.65,scattered clouds,-24.4167,150.5,Silo Motor Inn Biloela
688,Puerto Vallarta,MX,78.71,clear sky,20.6204,-105.2307,Sunset Plaza Beach Resort & Spa
691,Xuzhou,CN,83.23,overcast clouds,34.1805,117.1571,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
